,主旨,原因,不合格原因暨檢出量詳細說明,法規限量標準,seg
0,茉莉綠茶(T4003 JASMINE PEARLS TEA GREEN TEA),農藥殘留含量不符規定,檢出殘留農藥芬普尼0.007 ppm,依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥芬', '普尼', '0.007', 'ppm']"
1,印度八角粒(KITCHEN MAGIC STAR ANISE),農藥殘留含量不符規定,檢出殘留農藥2-Phenylphenol 0.16 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Phenylphenol', '0.16', 'ppm']"
2,印度小茴香子(Kitchen Magic Cumin seeds),農藥殘留含量不符規定,檢出殘留農藥亞滅培0.73 ppm、貝芬替0.40 ppm、可尼丁0.47 ppm、菲克利0.15 ppm、益達胺0.29 ppm、佈飛松0.50 ppm及賽速安0.38 ppm,依據「農藥殘留容許量標準」，農藥亞滅培、貝芬替、可尼丁、菲克利、益達胺、佈飛松及賽速安定量極限均為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '菲克', '檢出', '殘留', '農藥亞', '滅培', '0.73', '貝芬', '0.40', '可尼丁', '0.47', '0.15', '益達胺', '0.29', '飛松', '0.50', '及賽', '速安', '0.38']"
3,印度茴香子(Kitchen Magic Fennel Seeds),農藥殘留含量不符規定,檢出殘留農藥貝芬替0.12 ppm、益達胺0.44 ppm、賽扶寧0.16 ppm及普克利0.19 ppm,依據「農藥殘留容許量標準」，農藥貝芬替、益達胺、賽扶寧及普克利定量極限均為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '貝芬', '0.12', '益達胺', '0.44', '賽扶寧', '0.16', '及普', '0.19', '克利']"
4,印度小茴香粉(Kitchen Magic Cumin powder),農藥殘留含量不符規定,檢出殘留農藥亞滅培2.54 ppm、貝芬替1.50 ppm、可尼丁0.56 ppm、菲克利0.29 ppm、益達胺0.33 ppm、佈飛松0.11 ppm、賽速安0.71 ppm、待克利0.06 ppm、克收欣0.16 ppm、施得圃0.11 ppm、普克利0.82 ppm、拜裕松0.17 ppm、得克利0.40 ppm、亞托敏0.70 ppm及三賽唑 0.21 ppm,依據「農藥殘留容許量標準」，農藥亞托敏容許量為0.05 ppm、三賽唑為不得檢出、其餘農藥定量極限均為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '克利', '0.11', '菲克', '檢出', '殘留', '農藥亞', '滅培', '2.54', '貝芬', '1.50', '可尼丁', '0.56', '0.29', '益達胺', '0.33', '飛松', '賽速安', '0.71', '0.06', '克收欣', '0.16', '施得', '0.82', '拜裕松', '0.17', '0.40', '亞托敏', '0.70', '及三賽', '0.21']"
5,孜然(孜然茴香),農藥殘留含量不符規定,檢出殘留農藥加保扶0.11 ppm、愛殺松0.12 ppm、三賽唑0.78 ppm、速殺氟0.06 ppm、亞滅培1.27 ppm、亞托敏0.1 ppm、貝芬替0.46 ppm、可尼丁0.35 ppm、菲克利0.66 ppm、益達胺0.22 ppm、佈飛松1.28 ppm、賽速安0.32 ppm、待克利0.30 ppm、芬化利0.11 ppm、丙基喜樂松0.06 ppm、克收欣0.32 ppm、普克利0.07 ppm、百利普芬0.10 ppm、得克利0.12 ppm、賽洛寧0.07 ppm及芬普尼0.013 ppm,依據「農藥殘留容許量標準」，農藥加保扶、愛殺松、三賽唑及速殺氟為不得檢出、芬普尼定量極限為0.002 ppm、其餘農藥定量極限均為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '克利', '0.11', '0.12', '0.06', '0.32', '0.07', '菲克', '丙基', '檢出', '殘留', '農藥加', '保扶', '愛殺', '三賽', '0.78', '速殺', '亞滅培', '1.27', '亞托敏', '0.1', '貝芬', '0.46', '可尼丁', '0.35', '0.66', '益達胺', '0.22', '飛松', '1.28', '賽速安', '0.30', '芬化利', '喜樂松', '克收欣', '普芬', '0.10', '賽洛寧', '及芬', '普尼', '0.013', '百利']"
6,VAN AN 醃竹筍(VAN AN 醃竹筍),漂白劑含量不符規定,檢出二氧化硫0.042 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，准用亞硫酸鹽類漂白劑用量以二氧化硫殘留量計為 0.030 g/kg以下，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.042', 'kg', '二氧化硫']"
7,VAN AN 醃竹筍(VAN AN 醃竹筍),漂白劑含量不符規定,檢出二氧化硫0.051 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，准用亞硫酸鹽類漂白劑用量以二氧化硫殘留量計為 0.030 g/kg以下，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.051', 'kg', '二氧化硫']"
8,砂仁 (殼砂仁)(CARDAMOMS),農藥殘留含量不符規定,檢出殘留農藥2-Phenylphenol 0.14 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Phenylphenol', '0.14', 'ppm']"
9,艾斯阿格牛乾酪(FORMAGGIO ASIAGO PRESSATO DOP 1/4 CONF.IN VASCHETTA ATP),微生物含量不符規定,檢出大腸桿菌460 MPN/g,依據「乳品類衛生標準」，乾酪大腸桿菌標準為100 MPN/g以下，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '大腸', '桿菌', '460', 'MPN']"
